key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key: inventor
# base entity
invention-00,TICKER-00,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
# ticker - standard variations
invention-01,TICKE,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-02,TICKER,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-03,TICKER-1234567,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-04,TICKER-12345678,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
# ticker - no singular values
# name - standard variations
invention-05,TICKER-05,L,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-06,TICKER-06,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-07,TICKER-07,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-08,TICKER-08,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-09,TICKER-09,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-09,TICKER-09,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-10,TICKER-10,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-11,TICKER-11,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-12,TICKER-12,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-13,TICKER-13,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
# name - no singular values
invention-14,TICKER-14,"","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-15,TICKER-15,"","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-16,TICKER-16,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
# description - standard variations
invention-17,TICKER-17,invention,L,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-18,TICKER-18,invention,Lo,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-19,TICKER-19,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-20,TICKER-20,invention,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-21,TICKER-21,invention,โลเร็ม อิปซัม,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-22,TICKER-22,invention,لوريم إيبسوم,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-23,TICKER-23,invention,洛伦·伊普森,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-24,TICKER-24,invention,<marquee>Hacked</marquee>,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-25,TICKER-25,invention,<script>alert(‘Hacked!’);</script>,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
invention-26,TICKER-26,invention,' or 'A' = 'A,2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
# description - no singular values
invention-27,TICKER-27,invention,"",2025/09/01 10:00,2025/11/14 10:00,http://lorem.com/ipsum,TRUE,inventor-01
