key,name,description,cost,kind,key: invention
# base entity
part-00,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
# name - standard variations
part-01,L,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
part-02,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
part-03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
part-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
part-05,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
part-06,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
part-07,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
part-08,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
part-09,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
part-10,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
# name - no singular values
part-11,"","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
part-12,"","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
part-13,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500.000,MANDATORY,invention-01
# description - standard variations
part-14,"Lorem ipsum dolor sit amet, consectetu",L,EUR 500.000,MANDATORY,invention-01
part-15,"Lorem ipsum dolor sit amet, consectetu",Lo,EUR 500.000,MANDATORY,invention-01
part-16,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",EUR 500.000,MANDATORY,invention-01
part-17,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",EUR 500.000,MANDATORY,invention-01
part-18,"Lorem ipsum dolor sit amet, consectetu",โลเร็ม อิปซัม,EUR 500.000,MANDATORY,invention-01
part-19,"Lorem ipsum dolor sit amet, consectetu",لوريم إيبسوم,EUR 500.000,MANDATORY,invention-01
part-20,"Lorem ipsum dolor sit amet, consectetu",洛伦·伊普森,EUR 500.000,MANDATORY,invention-01
part-21,"Lorem ipsum dolor sit amet, consectetu",<marquee>Hacked</marquee>,EUR 500.000,MANDATORY,invention-01
part-22,"Lorem ipsum dolor sit amet, consectetu",<script>alert(‘Hacked!’);</script>,EUR 500.000,MANDATORY,invention-01
part-23,"Lorem ipsum dolor sit amet, consectetu",' or 'A' = 'A,EUR 500.000,MANDATORY,invention-01
# description - no singular values
part-24,"Lorem ipsum dolor sit amet, consectetu","",EUR 500.000,MANDATORY,invention-01
part-25,"Lorem ipsum dolor sit amet, consectetu","",EUR 500.000,MANDATORY,invention-01
part-25,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",EUR 500.000,MANDATORY,invention-01
# cost - standard variations
part-26,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 0.01,MANDATORY,invention-01
part-27,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 0.02,MANDATORY,invention-01
part-28,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 999999.99,MANDATORY,invention-01
