key,ticker,name,description,startMoment,endMoment,more-info,draft-mode,key:sponsor
#base entity
sponsorship-00,AA00-TICKER,Lorem ipsum dolor sit amet consectetu,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,2026/01/01 00:00,2026/01/02 00:00,http://lorem.com/ipsum,TRUE,sponsor-1
#ticker
sponsorship-01,AB01-TICKER,L,L,2026/01/01 00:00,2026/01/02 00:00,http://lorem.com/ipsum,TRUE,sponsor-1
sponsorship-02,ZZ99-TICKER,L,L,2026/01/01 00:00,2026/01/02 00:00,http://lorem.com/ipsum,TRUE,sponsor-1
sponsorship-03,BC03-tiC_kEr,L,L,2026/01/01 00:00,2026/01/02 00:00,http://lorem.com/ipsum,TRUE,sponsor-1
sponsorship-04,CB04-_____,L,L,2026/01/01 00:00,2026/01/02 00:00,http://lorem.com/ipsum,TRUE,sponsor-1
sponsorship-05,AA05-__________,L,L,2026/01/01 00:00,2026/01/02 00:00,http://lorem.com/ipsum,TRUE,sponsor-1
#name
sponsorship-06,AA06-TICKER,L,L,2026/01/01 00:00,2026/01/02 00:00,http://lorem.com/ipsum,TRUE,sponsor-1
sponsorship-07,AA07-TICKER,Lo,L,2026/01/01 00:00,2026/01/02 00:00,http://lorem.com/ipsum,TRUE,sponsor-1
sponsorship-08,AA08-TICKER,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod t,L,2026/01/01 00:00,2026/01/02 00:00,http://lorem.com/ipsum,TRUE,sponsor-1
sponsorship-09,AA09-TICKER,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod te,L,2026/01/01 00:00,2026/01/02 00:00,http://lorem.com/ipsum,TRUE,sponsor-1
sponsorship-10,AA10-TICKER,โลเร็ม อิปซัม,L,2026/01/01 00:00,2026/01/02 00:00,http://lorem.com/ipsum,TRUE,sponsor-1
sponsorship-11,AA11-TICKER,لوريم إيبسوم,L,2026/01/01 00:00,2026/01/02 00:00,http://lorem.com/ipsum,TRUE,sponsor-1
sponsorship-12,AA12-TICKER,洛伦·伊普森,L,2026/01/01 00:00,2026/01/02 00:00,http://lorem.com/ipsum,TRUE,sponsor-1
